Title,Sentence,clean_sentence
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Summary  Companies  Judge says order unnecessary because investigators unlikely to destroy evidence  Noem pledges body-worn cameras for all DHS agents, Trump signals approval  Civil rights investigation into Pretti shooting by U.S. Justice Department  Feb 2 (Reuters) - A Minnesota federal judge on Monday said the U.S. Department of Homeland Security was unlikely to destroy evidence related to the fatal shooting of Alex Pretti by federal immigration agents, while Homeland Security Secretary Kristi Noem separately pledged body-worn cameras for all DHS officers.",worn camera dhs agent trump signal approval civil right investigation pretti shooting justice department feb reuters minnesota federal judge monday said department homeland security unlikely destroy evidence related fatal shooting alex pretti federal immigration agent homeland security secretary kristi noem separately pledged body worn camera dhs officer
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras",U.S. District Judge Eric C. Tostrud in Saint Paul dissolved a temporary restraining order he issued on January 24 blocking DHS from destroying evidence after state and local officials accused federal officials of impeding their investigation.,district judge eric tostrud saint paul dissolved temporary restraining order issued january blocking dhs destroying evidence state local official accused federal official impeding investigation
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","The judge said he was troubled by officials in President Donald Trump's administration rushing to defend the agents and label Pretti a terrorist, but found their statements were not enough to justify a continuing court order.",judge said troubled official president donald trump administration rushing defend agent label pretti terrorist found statement enough justify continuing court order
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","The lawsuit by the Minnesota Bureau of Criminal Apprehension and the Hennepin County Attorney’s Office marked a highly unusual standoff between local and federal law enforcement, who often cooperate and share information.",lawsuit minnesota bureau criminal apprehension hennepin county attorney office marked highly unusual standoff local federal law enforcement often cooperate share information
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras",The case also underscored distrust between local officials and the Trump administration during widespread protests against Trump's immigration enforcement crackdown in Minneapolis.,case also underscored distrust local official trump administration widespread protest trump immigration enforcement crackdown minneapolis
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras",Hennepin County Attorney Mary Moriarty said in a statement on Monday the federal government has pledged to preserve the evidence and state investigators are now working to gain access.,hennepin county attorney mary moriarty said statement monday federal government pledged preserve evidence state investigator working gain access
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras",The DHS and the Minnesota BCA did not immediately respond to requests for comment on the ruling.,dhs minnesota bca immediately respond request comment ruling
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Separately, Noem on Monday said DHS was immediately deploying body-worn cameras for every officer in Minneapolis, with the program expanding to the rest of the country as funding becomes available.",separately noem monday said dhs immediately deploying body worn camera every officer minneapolis program expanding rest country funding becomes available
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Asked about the move, Trump told reporters he was not involved in the decision but said body-worn cameras ""generally tend to be good for law enforcement, because people can't lie about what's happening.""",asked move trump told reporter involved decision said body worn camera generally tend good law enforcement people lie happening
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Officers involved in the Pretti shooting were wearing body-worn cameras, according to court filings, and federal officials said in sworn statements the footage is being preserved.",officer involved pretti shooting wearing body worn camera according court filing federal official said sworn statement footage preserved
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Pretti, a 37-year-old intensive care unit nurse at a hospital for veterans, was shot at a protest by two federal officers after he refused to move out of the street following an order from a customs officer.",pretti year old intensive care unit nurse hospital veteran shot protest two federal officer refused move street following order custom officer
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Trump administration officials said the officers acted in self-defense, but video evidence showed that all Pretti had in his hands was a cellphone before agents grappled him to the ground and shot him at close range.",trump administration official said officer acted self defense video evidence showed pretti hand cellphone agent grappled ground shot close range
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","The U.S. Justice Department has opened a civil rights investigation into the Pretti shooting that could potentially lead to criminal charges against the officers involved, though there is a high legal bar to bring such a case.",justice department opened civil right investigation pretti shooting could potentially lead criminal charge officer involved though high legal bar bring case
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Pretti was the second U.S. citizen killed by federal agents during protests against a Trump immigration enforcement crackdown that sent roughly 3,000 agents to Minneapolis and Saint Paul.",pretti second citizen killed federal agent protest trump immigration enforcement crackdown sent roughly 000 agent minneapolis saint paul
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras",State and local officials have accused agents of racially profiling residents and violating their constitutional rights.,state local official accused agent racially profiling resident violating constitutional right
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras",The Minnesota BCA and the Hennepin County Attorney’s Office sued DHS on January 24 to get access to the shooting evidence.,minnesota bca hennepin county attorney office sued dhs january get access shooting evidence
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras",They said the investigation of the scene by federal agents was hasty and public statements by top Trump administration officials showed DHS decided the day of the shooting that the agents had done nothing wrong.,said investigation scene federal agent hasty public statement top trump administration official showed dhs decided day shooting agent done nothing wrong
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Those statements included a January 24 social media post where White House Deputy Chief of Staff Stephen Miller called Pretti a ""domestic terrorist (who) tried to assassinate federal law enforcement,"" and a statement by DHS asserting it appeared Pretti wanted to ""do maximum damage and massacre law enforcement.”  Tostrud said in Monday's order the statements were ""troubling"" and reflect ""not a genuine interest in learning the truth, but snap judgments informed by speculation and motivated by political partisanship.""",statement included january social medium post white house deputy chief staff stephen miller called pretti domestic terrorist tried assassinate federal law enforcement statement dhs asserting appeared pretti wanted maximum damage massacre law enforcement tostrud said monday order statement troubling reflect genuine interest learning truth snap judgment informed speculation motivated political partisanship
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras",However the judge said they were not enough to indicate federal investigators would destroy evidence.,however judge said enough indicate federal investigator would destroy evidence
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Tostrud also said federal law enforcement was already obligated to preserve evidence for a possible excessive force lawsuit brought on Pretti’s behalf, and destroying it would have serious consequences.",tostrud also said federal law enforcement already obligated preserve evidence possible excessive force lawsuit brought pretti behalf destroying would serious consequence
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Before the shooting, Trump and administration officials said they would not back down from the enforcement operation despite large-scale protests.",shooting trump administration official said would back enforcement operation despite large scale protest
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","They have since struck a more conciliatory tone and said the operation will soon ""draw down.""",since struck conciliatory tone said operation soon draw
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Previously, he covered criminal and civil cases against Trump during the interim of his presidential terms, including gavel-to-gavel coverage of his historic hush money trial in New York and his civil fraud trial, which ended in a half-billion-dollar judgment.",previously covered criminal civil case trump interim presidential term including gavel gavel coverage historic hush money trial new york civil fraud trial ended half billion dollar judgment
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Jack has also covered high-profile defamation cases including the Dominion Voting Systems' lawsuit against Fox News, which settled for $787 million after intense pretrial litigation.",jack also covered high profile defamation case including dominion voting system lawsuit fox news settled 787 million intense pretrial litigation
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Based in New York, he specializes in breaking news as well as analysis, explainers and other explanatory reporting.",based new york specializes breaking news well analysis explainers explanatory reporting
"US judge dissolves DHS shooting evidence order, Noem pledges body cameras","Kanishka Singh is a breaking news reporter for Reuters in Washington DC, who primarily covers US politics and national affairs in his current role.",kanishka singh breaking news reporter reuters washington primarily cover politics national affair current role
Russia says foreign forces in Ukraine would be 'legitimate targets',"MOSCOW, Feb 2 (Reuters) - Russia would regard the deployment of any foreign military forces or infrastructure in Ukraine as foreign intervention and treat those forces as legitimate targets, the Foreign Ministry said on Monday, citing Minister Sergei Lavrov.",moscow feb reuters russia would regard deployment foreign military force infrastructure ukraine foreign intervention treat force legitimate target foreign ministry said monday citing minister sergei lavrov
Russia says foreign forces in Ukraine would be 'legitimate targets',"The ministry's comment, one of many it said were in response to questions put to Lavrov, also praised U.S. President Donald Trump's efforts at working for a resolution of the war and said he understood the fundamental reasons behind the conflict.",ministry comment one many said response question put lavrov also praised president donald trump effort working resolution war said understood fundamental reason behind conflict
Russia says foreign forces in Ukraine would be 'legitimate targets',"""The deployment of military units, facilities, warehouses, and other infrastructure of Western countries in Ukraine is unacceptable to us and will be regarded as foreign intervention posing a direct threat to Russia's security,"" the ministry said on its website.",deployment military unit facility warehouse infrastructure western country ukraine unacceptable regarded foreign intervention posing direct threat russia security ministry said website
Russia says foreign forces in Ukraine would be 'legitimate targets',"It said Western countries - which have discussed a possible deployment to Ukraine to help secure any peace deal - had to understand ""that all foreign military contingents, including German ones, if deployed in Ukraine, will become legitimate targets for the Russian Armed Forces"".",said western country discussed possible deployment ukraine help secure peace deal understand foreign military contingent including german one deployed ukraine become legitimate target russian armed force
Russia says foreign forces in Ukraine would be 'legitimate targets',The United States has spearheaded efforts to hold talks aimed at ending the conflict in Ukraine and a second three-sided meeting with Russian and Ukrainian representatives is to take place this week in the United Arab Emirates.,united state spearheaded effort hold talk aimed ending conflict ukraine second three sided meeting russian ukrainian representative take place week united arab emirate
Russia says foreign forces in Ukraine would be 'legitimate targets',The issue of ceding internationally recognised Ukrainian territory to Russia remains a major stumbling block.,issue ceding internationally recognised ukrainian territory russia remains major stumbling block
Russia says foreign forces in Ukraine would be 'legitimate targets',"Kyiv rejects Russian calls for it to give up all of its Donbas region, including territory Moscow's forces have not captured.",kyiv reject russian call give donbas region including territory moscow force captured
Russia says foreign forces in Ukraine would be 'legitimate targets',Moscow has repeatedly said it will not tolerate the presence in Ukraine of troops from Western countries.,moscow repeatedly said tolerate presence ukraine troop western country
Russia says foreign forces in Ukraine would be 'legitimate targets',"The ministry said Moscow valued the ""purposeful efforts"" of the Trump administration in working towards a resolution and understanding Russia's long-running concerns about NATO's eastward expansion and its overtures to Ukraine.",ministry said moscow valued purposeful effort trump administration working towards resolution understanding russia long running concern nato eastward expansion overture ukraine
Russia says foreign forces in Ukraine would be 'legitimate targets',"It described Trump as ""one of the few Western politicians who not only immediately refused to advance meaningless and destructive preconditions for starting a substantive dialogue with Moscow on the Ukrainian crisis, but also publicly spoke about its root causes"".",described trump one western politician immediately refused advance meaningless destructive precondition starting substantive dialogue moscow ukrainian crisis also publicly spoke root cause
Venezuela interim president Rodriguez meets with US envoy,"Feb 2 (Reuters) - Venezuela's government and the U.S. embassy said on Monday that interim President Delcy Rodriguez met with U.S. envoy Laura Dogu, as the two countries gradually resume bilateral relations  The government said in a statement that the meeting took place at the Miraflores presidential palace to discuss ""the work agenda between the Bolivarian Republic of Venezuela and the United States.""",feb reuters venezuela government embassy said monday interim president delcy rodriguez met envoy laura dogu two country gradually resume bilateral relation government said statement meeting took place miraflores presidential palace discus work agenda bolivarian republic venezuela united state
Venezuela interim president Rodriguez meets with US envoy,"Foreign Minister Yvan Gil added in comments on state television that the conversation covered the ""common agenda"" between the two countries, especially energy, trade, political and economic issues.",foreign minister yvan gil added comment state television conversation covered common agenda two country especially energy trade political economic issue
Venezuela interim president Rodriguez meets with US envoy,"He added that Felix Plasencia, a prior foreign minister who also served as the country's ambassador to China, will travel to Washington in the coming days to serve as Venezuela's ""diplomatic representative.""",added felix plasencia prior foreign minister also served country ambassador china travel washington coming day serve venezuela diplomatic representative
Venezuela interim president Rodriguez meets with US envoy,"Rodriguez's brother, head of the National Assembly legislature Jorge Rodriguez, attended the meeting, the government said, as did Gil, with whom Dogu met over the weekend following her arrival in Caracas.",rodriguez brother head national assembly legislature jorge rodriguez attended meeting government said gil dogu met weekend following arrival caracas
Venezuela interim president Rodriguez meets with US envoy,"""The governments of Venezuela and the United States have set out to advance on a roadmap to address matters of bilateral interest, through diplomatic dialogue and on the basis of mutual respect and international law,"" the statement added.",government venezuela united state set advance roadmap address matter bilateral interest diplomatic dialogue basis mutual respect international law statement added
Venezuela interim president Rodriguez meets with US envoy,"The U.S. embassy in Venezuela said on social media that Dogu met with Venezuelan officials to ""reiterate the three phases that U.S. Secretary of State Marco Rubio had outlined for Venezuela: stabilization, economic recovery and reconciliation, and transition.""",embassy venezuela said social medium dogu met venezuelan official reiterate three phase secretary state marco rubio outlined venezuela stabilization economic recovery reconciliation transition
Venezuela interim president Rodriguez meets with US envoy,"After months of heightened tensions, the U.S. captured Venezuela's President Nicolas Maduro a month ago, setting off a chain of changes in the country, including the swearing in of Rodriguez, the passage of a reform to its flagship oil law and the release of some political prisoners.",month heightened tension captured venezuela president nicolas maduro month ago setting chain change country including swearing rodriguez passage reform flagship oil law release political prisoner
Venezuela interim president Rodriguez meets with US envoy,"Rodriguez has said she is seeking ""balanced and respectful international relations"" with the U.S., while Trump has said the relationship with the interim government is going well.",rodriguez said seeking balanced respectful international relation trump said relationship interim government going well
Venezuela interim president Rodriguez meets with US envoy,"The two countries have reached a deal to export up to $2 billion worth of Venezuelan crude to the United States, and on Friday Rodriguez announced a proposed ""amnesty law"" for hundreds of prisoners in the country, a move long demanded by the opposition and human rights groups.",two country reached deal export billion worth venezuelan crude united state friday rodriguez announced proposed amnesty law hundred prisoner country move long demanded opposition human right group
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","Summary  Companies  Attia recently joined CBS as a contributor  In post on X, Attia denies involvement in Epstein's criminal activities  Attia removed from David Protein's website amid controversy  WASHINGTON, Feb 2 (Reuters) - Paramount-owned CBS News (PSKY.O), opens new tab is expected to cut ties with contributor Dr. Peter Attia, an influential longevity expert, over his dealings with convicted sex offender Jeffrey Epstein, the Wrap reported on Monday, citing an individual with knowledge of the parent company's thinking.",paramount owned cbs news psky expected cut tie contributor peter attia influential longevity expert dealing convicted sex offender jeffrey epstein wrap reported monday citing individual knowledge parent company thinking
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","Attia's name appears more than 1,700 times in the trove of 3 million emails released as part of the Epstein files by the U.S. Department of Justice on Friday.",attia name appears 700 time trove million email released part epstein file department justice friday
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports",Read about innovative ideas and the people working on solutions to global crises with the Reuters Beacon newsletter.,read innovative idea people working solution global crisis reuters beacon newsletter
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","In a post on X, Attia, a podcaster and author of the book ""Outlive: The Science and Art of Longevity,"" on Monday denied that he was involved in criminal activity.",post attia podcaster author book outlive science art longevity monday denied involved criminal activity
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","But he apologized and said he was ""ashamed"" by the emails, which included ""crude, tasteless banter.""",apologized said ashamed email included crude tasteless banter
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","In one 2015 note, Attia said, ""The biggest problem with becoming friends with you?",one 2015 note attia said biggest problem becoming friend
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","The life you lead is so outrageous, and yet I can't tell a soul...""  In a 2016 email, Attia said, using Epstein's initials, ""I go into JE withdrawal when I don't see him.""",life lead outrageous yet tell soul 2016 email attia said using epstein initial withdrawal see
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","Epstein, a multimillionaire who socialized with the elite, was convicted in 2008 on charges of soliciting a minor for prostitution.",epstein multimillionaire socialized elite convicted 2008 charge soliciting minor prostitution
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports",CBS News and Attia did not immediately respond to requests for comment.,cbs news attia immediately respond request comment
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","ATTIA NEW CBS CONTRIBUTOR  Just last week, Attia, who has 1.6 million followers on Instagram, was named a CBS contributor as part of Editor-in-chief Bari Weiss' strategy to restructure operations by adding 19 new contributors and bring a ""streaming mentality"" to the network.",attia new cbs contributor last week attia million follower instagram named cbs contributor part editor chief bari weiss strategy restructure operation adding new contributor bring streaming mentality network
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","Attia appeared in an October segment of the CBS show ""60 Minutes"" and was described as ""both a pioneer and a star in the growing field of longevity medicine.""",attia appeared october segment cbs show minute described pioneer star growing field longevity medicine
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","According to his personal website, Attia received his medical degree from the Stanford University School of Medicine and trained at Johns Hopkins Hospital and the National Institutes of Health.",according personal website attia received medical degree stanford university school medicine trained john hopkins hospital national institute health
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","Attia appeared to have been removed from the website of David Protein, a protein bar company he has invested in.",attia appeared removed website david protein protein bar company invested
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","As of January 29, Attia was listed on the company's homepage as chief science officer, according to an archived version of the webpage accessed with the Wayback Machine.",january attia listed company homepage chief science officer according archived version webpage accessed wayback machine
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","As of January 12, he was named on the company's ""experts"" page with the same title, an archived webpage showed.",january named company expert page title archived webpage showed
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports",Attia no longer appeared on either webpage on Monday.,attia longer appeared either webpage monday
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports",David Protein did not immediately respond to a request for comment.,david protein immediately respond request comment
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","ATTIA CALLS EMAILS 'EMBARRASSING'  In his X post on Monday, Attia said he met with Epstein seven or eight times at his New York City home between 2014 and 2019, but never witnessed illegal activity or saw Epstein accompanied by anyone who appeared to be underage.",attia call email embarrassing post monday attia said met epstein seven eight time new york city home 2014 2019 never witnessed illegal activity saw epstein accompanied anyone appeared underage
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","""My interactions with Epstein had nothing to do with his sexual abuse or exploitation of anyone.",interaction epstein nothing sexual abuse exploitation anyone
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports","""That said, I apologize and regret putting myself in a position where emails, some of them embarrassing, tasteless and indefensible, are now public, and that is on me.",said apologize regret putting position email embarrassing tasteless indefensible public
"CBS to sever ties with longevity expert Dr. Peter Attia over Epstein links, the Wrap reports",Epstein died while awaiting trial on sex trafficking charges.,epstein died awaiting trial sex trafficking charge
"Exclusive: Iran fears US strike may reignite protests, imperil rule, sources say","DUBAI, Feb 2 (Reuters) - Iran’s leadership is increasingly worried a U.S. strike could break its grip on power by driving an already enraged public back onto the streets, following a bloody crackdown on anti-government protests, according to six current and former officials.",dubai feb reuters iran leadership increasingly worried strike could break grip power driving already enraged public back onto street following bloody crackdown anti government protest according six current former official
"Exclusive: Iran fears US strike may reignite protests, imperil rule, sources say","In high-level meetings, officials told Supreme Leader Ayatollah Ali Khamenei that public anger over last month's crackdown -- the bloodiest since the 1979 Islamic Revolution-- has reached a point where fear is no longer a deterrent, four current officials briefed on the discussions said.",high level meeting official told supreme leader ayatollah ali khamenei public anger last month crackdown bloodiest since 1979 islamic revolution reached point fear longer deterrent four current official briefed discussion said
"Exclusive: Iran fears US strike may reignite protests, imperil rule, sources say","The Reuters Gulf Currents newsletter brings you the latest on geopolitics, energy and finance in the region.",reuters gulf current newsletter brings latest geopolitics energy finance region
"Exclusive: Iran fears US strike may reignite protests, imperil rule, sources say",The officials said Khamenei was told that many Iranians were prepared to confront security forces again and that external pressure such as a limited U.S. strike could embolden them and inflict irreparable damage to the political establishment.,official said khamenei told many iranian prepared confront security force external pressure limited strike could embolden inflict irreparable damage political establishment
"Exclusive: Iran fears US strike may reignite protests, imperil rule, sources say","One of the officials told Reuters that Iran's enemies were seeking more protests so as to bring the Islamic Republic to an end, and ""unfortunately"" there would be more violence if an uprising took place.",one official told reuters iran enemy seeking protest bring islamic republic end unfortunately would violence uprising took place
